model,classifier,train_ims,condition,animacy,obj1,obj2,acc,prob1,prob2
cvcl,langauge,0,Outline,inam,airplane,apple,1,0.72663254,0.2733674
cvcl,langauge,0,Outline,inam,airplane,bicycle,0,0.49044573,0.50955427
cvcl,langauge,0,Outline,inam,airplane,chair,1,0.58170384,0.41829616
cvcl,langauge,0,Outline,inam,airplane,flower,0,0.25340453,0.7465955
cvcl,langauge,0,Outline,inam,airplane,fork,1,0.7625365,0.23746341
cvcl,langauge,0,Outline,inam,airplane,guitar,1,0.7040388,0.29596126
cvcl,langauge,0,Outline,inam,airplane,key,0,0.116999835,0.8830002
cvcl,langauge,0,Outline,inam,airplane,kite,0,0.33181155,0.6681885
cvcl,langauge,0,Outline,inam,airplane,lamp,0,0.28163433,0.71836567
cvcl,langauge,0,Outline,inam,airplane,leaf,0,0.2677083,0.7322917
cvcl,langauge,0,Outline,inam,airplane,spoon,1,0.8481037,0.15189634
cvcl,langauge,0,Outline,inam,airplane,tree,0,0.3042543,0.6957457
cvcl,langauge,0,Outline,inam,airplane,truck,0,0.31338307,0.6866169
cvcl,langauge,0,Outline,inam,airplane,umbrella,0,0.42787194,0.57212806
cvcl,langauge,0,Outline,inam,apple,airplane,1,0.5069855,0.49301448
cvcl,langauge,0,Outline,inam,apple,bicycle,0,0.1012055,0.8987945
cvcl,langauge,0,Outline,inam,apple,chair,0,0.21985058,0.7801494
cvcl,langauge,0,Outline,inam,apple,flower,0,0.07309743,0.92690253
cvcl,langauge,0,Outline,inam,apple,fork,1,0.5237089,0.47629106
cvcl,langauge,0,Outline,inam,apple,guitar,1,0.59208256,0.4079174
cvcl,langauge,0,Outline,inam,apple,key,0,0.08044556,0.9195545
cvcl,langauge,0,Outline,inam,apple,kite,0,0.4627549,0.5372451
cvcl,langauge,0,Outline,inam,apple,lamp,0,0.15358439,0.8464156
cvcl,langauge,0,Outline,inam,apple,leaf,0,0.02373556,0.9762645
cvcl,langauge,0,Outline,inam,apple,spoon,0,0.42199245,0.5780075
cvcl,langauge,0,Outline,inam,apple,tree,0,0.10604751,0.8939525
cvcl,langauge,0,Outline,inam,apple,truck,0,0.31142676,0.68857324
cvcl,langauge,0,Outline,inam,apple,umbrella,0,0.2351464,0.7648536
cvcl,langauge,0,Outline,inam,bicycle,airplane,1,0.765234,0.23476604
cvcl,langauge,0,Outline,inam,bicycle,apple,1,0.5923041,0.40769583
cvcl,langauge,0,Outline,inam,bicycle,chair,1,0.6008183,0.39918175
cvcl,langauge,0,Outline,inam,bicycle,flower,0,0.28622985,0.71377015
cvcl,langauge,0,Outline,inam,bicycle,fork,1,0.79463327,0.20536679
cvcl,langauge,0,Outline,inam,bicycle,guitar,1,0.852815,0.14718498
cvcl,langauge,0,Outline,inam,bicycle,key,1,0.5047616,0.49523845
cvcl,langauge,0,Outline,inam,bicycle,kite,1,0.68949,0.31051
cvcl,langauge,0,Outline,inam,bicycle,lamp,1,0.53478783,0.4652122
cvcl,langauge,0,Outline,inam,bicycle,leaf,0,0.17596164,0.8240383
cvcl,langauge,0,Outline,inam,bicycle,spoon,1,0.7705345,0.22946547
cvcl,langauge,0,Outline,inam,bicycle,tree,0,0.2764912,0.7235088
cvcl,langauge,0,Outline,inam,bicycle,truck,0,0.39818183,0.6018182
cvcl,langauge,0,Outline,inam,bicycle,umbrella,0,0.47818473,0.5218153
cvcl,langauge,0,Outline,inam,chair,airplane,1,0.5315086,0.46849135
cvcl,langauge,0,Outline,inam,chair,apple,1,0.58833826,0.41166177
cvcl,langauge,0,Outline,inam,chair,bicycle,0,0.17608441,0.8239156
cvcl,langauge,0,Outline,inam,chair,flower,0,0.36390543,0.63609457
cvcl,langauge,0,Outline,inam,chair,fork,0,0.4786908,0.5213092
cvcl,langauge,0,Outline,inam,chair,guitar,0,0.35130867,0.64869136
cvcl,langauge,0,Outline,inam,chair,key,0,0.035116434,0.96488357
cvcl,langauge,0,Outline,inam,chair,kite,1,0.5784032,0.42159685
cvcl,langauge,0,Outline,inam,chair,lamp,0,0.25648963,0.74351037
cvcl,langauge,0,Outline,inam,chair,leaf,0,0.09337256,0.9066274
cvcl,langauge,0,Outline,inam,chair,spoon,1,0.64848083,0.3515192
cvcl,langauge,0,Outline,inam,chair,tree,0,0.17143147,0.8285686
cvcl,langauge,0,Outline,inam,chair,truck,0,0.19432577,0.8056742
cvcl,langauge,0,Outline,inam,chair,umbrella,1,0.52170175,0.47829825
cvcl,langauge,0,Outline,inam,flower,airplane,1,0.8850084,0.11499159
cvcl,langauge,0,Outline,inam,flower,apple,1,0.9098033,0.090196714
cvcl,langauge,0,Outline,inam,flower,bicycle,1,0.792807,0.20719302
cvcl,langauge,0,Outline,inam,flower,chair,1,0.7373278,0.26267225
cvcl,langauge,0,Outline,inam,flower,fork,1,0.9408335,0.05916651
cvcl,langauge,0,Outline,inam,flower,guitar,1,0.93005407,0.06994592
cvcl,langauge,0,Outline,inam,flower,key,0,0.3199932,0.6800068
cvcl,langauge,0,Outline,inam,flower,kite,1,0.8343481,0.16565196
cvcl,langauge,0,Outline,inam,flower,lamp,1,0.63837,0.36163002
cvcl,langauge,0,Outline,inam,flower,leaf,0,0.3997054,0.6002946
cvcl,langauge,0,Outline,inam,flower,spoon,1,0.9205458,0.0794542
cvcl,langauge,0,Outline,inam,flower,tree,1,0.5470121,0.45298788
cvcl,langauge,0,Outline,inam,flower,truck,1,0.67463976,0.3253602
cvcl,langauge,0,Outline,inam,flower,umbrella,1,0.77352625,0.22647375
cvcl,langauge,0,Outline,inam,fork,airplane,0,0.4992488,0.5007512
cvcl,langauge,0,Outline,inam,fork,apple,1,0.60482883,0.39517123
cvcl,langauge,0,Outline,inam,fork,bicycle,0,0.122941524,0.87705845
cvcl,langauge,0,Outline,inam,fork,chair,0,0.16973187,0.8302681
cvcl,langauge,0,Outline,inam,fork,flower,0,0.061017364,0.93898267
cvcl,langauge,0,Outline,inam,fork,guitar,0,0.15311526,0.8468848
cvcl,langauge,0,Outline,inam,fork,key,0,0.014996585,0.9850034
cvcl,langauge,0,Outline,inam,fork,kite,0,0.39142776,0.6085722
