/user_data/vayzenbe/GitHub_Repos/vonenet/vonenet/params.py:59: RuntimeWarning: invalid value encountered in true_divide
  ny_dist_marg = n_joint_dist / n_joint_dist.sum(axis=1, keepdims=True)
/home/vayzenbe/anaconda3/envs/ml/lib/python3.9/site-packages/torch/functional.py:478: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  /opt/conda/conda-bld/pytorch_1659484775609/work/aten/src/ATen/native/TensorShape.cpp:2895.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
libraries loaded...
Neuronal distributions gabor parameters
Model:  VOneCORnet-S feedforward
vonenet_ff_ecoset guitar
extracting features...
vonenet_ff_ecoset chair
extracting features...
vonenet_ff_ecoset squirrel
extracting features...
vonenet_ff_ecoset fork
extracting features...
vonenet_ff_ecoset flower
extracting features...
vonenet_ff_ecoset cow
extracting features...
vonenet_ff_ecoset foot
extracting features...
vonenet_ff_ecoset kite
extracting features...
vonenet_ff_ecoset cat
extracting features...
vonenet_ff_ecoset apple
extracting features...
vonenet_ff_ecoset leaf
extracting features...
vonenet_ff_ecoset bird
extracting features...
vonenet_ff_ecoset airplane
extracting features...
vonenet_ff_ecoset umbrella
extracting features...
vonenet_ff_ecoset frog
extracting features...
vonenet_ff_ecoset tree
extracting features...
vonenet_ff_ecoset rabbit
extracting features...
vonenet_ff_ecoset hand
extracting features...
vonenet_ff_ecoset spoon
extracting features...
vonenet_ff_ecoset butterfly
extracting features...
vonenet_ff_ecoset duck
extracting features...
vonenet_ff_ecoset bear
extracting features...
vonenet_ff_ecoset truck
extracting features...
vonenet_ff_ecoset fish
extracting features...
vonenet_ff_ecoset key
extracting features...
vonenet_ff_ecoset turtle
extracting features...
vonenet_ff_ecoset dog
extracting features...
vonenet_ff_ecoset bike
extracting features...
vonenet_ff_ecoset elephant
extracting features...
vonenet_ff_ecoset lamp
extracting features...
