model,classifier,train_ims,condition,acc,ci,ci_low,ci_high
vonenet_ff_ecoset,NC,300,IC,0.5661904761904762,0.015863177584459785,0.5503272986060165,0.582053653774936
vonenet_ff_stylized-ecoset,logistic,300,IC,0.5441071428571429,0.014023345193698926,0.5300837976634439,0.5581304880508419
vonenet_r_ecoset,NC,300,IC,0.6046428571428571,0.021032024110535757,0.5836108330323214,0.6256748812533929
vonenet_r_stylized-ecoset,KNN,300,IC,0.66125,0.02024212905755757,0.6410078709424424,0.6814921290575576
ShapeNet,KNN,300,IC,0.6258333333333334,0.018432212487196533,0.6074011208461368,0.6442655458205299
SayCam,NC,300,IC,0.6028571428571429,0.016854277871732305,0.5860028649854105,0.6197114207288752
convnext,Ridge,50,IC,0.6057142857142858,0.012761298517658835,0.5929529871966269,0.6184755842319446
vit,logistic,300,IC,0.5857738095238095,0.015354964917792039,0.5704188446060174,0.6011287744416016
3yrold_fast,,,deleted,0.5425714858335268,0.07650254355098855,0.4660689422825382,0.6190740293845153
3yrold_slow,,,deleted,0.5792288239490075,0.057851774323252204,0.5213770496257554,0.6370805982722597
4yrold_fast,,,deleted,0.717093839705582,0.06133498831554759,0.6557588513900344,0.7784288280211297
4yrold_slow,,,deleted,0.8256392045454546,0.06358082613325025,0.7620583784122044,0.8892200306787048
5yrold_fast,,,deleted,0.6729469852258665,0.08131836862642247,0.591628616599444,0.754265353852289
5yrold_slow,,,deleted,0.7843875780932618,0.07124668485576499,0.7131408932374967,0.8556342629490268
